Name,Start,End,Size
Em10_R1_br_attack_small,0x001277A0,0x001277A8,8
Em10_R1_attack_small,0x001277B0,0x001277B4,4
Em10_R1_br_attack_throw,0x00127D60,0x00127D68,8
Em10_R1_attack_throw,0x00127D70,0x00127D74,4
Em10_R1_br_weapon_reset,0x00127EF0,0x00127EF8,8
Em10_R1_weapon_reset,0x00127F00,0x00127F04,4
Em10_R1_br_play,0x00128070,0x00128078,8
Em10_R1_play,0x00128080,0x00128084,4
Em10_R1_br_attack_vomit,0x00128140,0x00128148,8
Em10_R1_attack_vomit,0x00128150,0x00128154,4
Em10_shotgun_fire,0x00128260,0x00128268,8
Em10_R1_br_shot_gun,0x00128630,0x001286BC,140
Em10_R1_shot_gun,0x001286C0,0x001286C4,4
Em10_R1_br_attack_gun,0x001287F0,0x001287F8,8
Em10_R1_attack_gun,0x00128800,0x00128804,4
Em10_R1_br_scream,0x00128A80,0x00128A88,8
Em10_R1_scream,0x00128A90,0x00128A9C,12
